RX	IX
0.000000 0.000106
0.000977 0.135480
0.001953 0.229986
0.002930 0.273064
0.003906 0.283562
0.004883 0.284339
0.005859 0.284945
0.006836 0.285327
0.007812 0.285453
0.008789 0.286538
0.009766 0.288007
0.010742 0.288502
0.011719 0.288557
0.012695 0.289487
0.013672 0.290881
0.014648 0.291517
0.015625 0.291674
0.016602 0.292483
0.017578 0.293776
0.018555 0.294511
0.019531 0.294763
0.020508 0.295489
0.021484 0.296694
0.022461 0.297498
0.023438 0.297829
0.024414 0.298496
0.025391 0.299626
0.026367 0.300480
0.027344 0.300880
0.028320 0.301503
0.029297 0.302569
0.030273 0.303458
0.031250 0.303917
0.032227 0.304509
0.033203 0.305518
0.034180 0.306432
0.035156 0.306943
0.036133 0.307514
0.037109 0.308470
0.038086 0.309400
0.039062 0.309960
0.040039 0.310516
0.041016 0.311425
0.041992 0.312364
0.042969 0.312967
0.043945 0.313515
0.044922 0.314381
0.045898 0.315323
0.046875 0.315966
0.047852 0.316510
0.048828 0.317336
0.049805 0.318277
0.050781 0.318955
0.051758 0.319501
0.052734 0.320290
0.053711 0.321225
0.054688 0.321936
0.055664 0.322487
0.056641 0.323242
0.057617 0.324168
0.058594 0.324907
0.059570 0.325466
0.060547 0.326192
0.061523 0.327105
0.062500 0.327869
0.063477 0.328440
0.064453 0.329139
0.065430 0.330036
0.066406 0.330822
0.067383 0.331406
0.068359 0.332081
0.069336 0.332961
0.070312 0.333766
0.071289 0.334364
0.072266 0.335019
0.073242 0.335879
0.074219 0.336699
0.075195 0.337314
0.076172 0.337952
0.077148 0.338792
0.078125 0.339623
0.079102 0.340255
0.080078 0.340879
0.081055 0.341696
0.082031 0.342536
0.083008 0.343186
0.083984 0.343799
0.084961 0.344594
0.085938 0.345439
0.086914 0.346107
0.087891 0.346712
0.088867 0.347484
0.089844 0.348331
0.090820 0.349017
0.091797 0.349617
0.092773 0.350367
0.093750 0.351213
0.094727 0.351916
0.095703 0.352514
0.096680 0.353242
0.097656 0.354083
0.098633 0.354803
0.099609 0.355401
0.100586 0.356108
0.101562 0.356943
0.102539 0.357678
0.103516 0.358278
0.104492 0.358965
