RX  IX
0 2
0.000897 1.910694
0.009766 1.822016
0.010742 1.839333
0.011719 1.841328
0.012695 1.833288
0.013672 1.819554
0.014648 1.803315
0.015625 1.786585
0.016602 1.770336
0.017578 1.754750
0.018555 1.739514
0.019531 1.724118
0.020508 1.708104
0.021484 1.691220
0.022461 1.673487
0.023438 1.655175
0.024414 1.636715
0.025391 1.618570
0.026367 1.601118
0.027344 1.584556
0.028320 1.568856
0.029297 1.553780
0.030273 1.538939
0.031250 1.523887
0.032227 1.508225
0.033203 1.491689
0.034180 1.474207
0.035156 1.455912
0.036133 1.437103
0.037109 1.418184
0.038086 1.399567
0.039062 1.381584
0.040039 1.364419
0.041016 1.348067
0.041992 1.332337
0.042969 1.316897
0.043945 1.301338
0.044922 1.285265
0.045898 1.268373
0.046875 1.250508
0.047852 1.231693
0.048828 1.212123
0.049805 1.192120
0.050781 1.172067
0.051758 1.152331
0.052734 1.133198
0.053711 1.114817
0.054688 1.097183
0.055664 1.080149
0.056641 1.063470
0.057617 1.046855
0.058594 1.030040
0.059570 1.012840
0.060547 0.995192
0.061523 0.977158
0.062500 0.958917
0.063477 0.940713
0.064453 0.922805
0.065430 0.905409
0.066406 0.888649
0.067383 0.872528
0.068359 0.856929
0.069336 0.841636
0.070312 0.826381
0.071289 0.810894
0.072266 0.794962
0.073242 0.778467
0.074219 0.761410
0.075195 0.743908
0.076172 0.726170
0.077148 0.708449
0.078125 0.690997
0.079102 0.674013
0.080078 0.657608
0.081055 0.641786
0.082031 0.626456
0.083008 0.611451
0.083984 0.596573
0.084961 0.581636
0.085938 0.566514
0.086914 0.551162
0.087891 0.535634
0.088867 0.520068
0.089844 0.504663
0.090820 0.489641
0.091797 0.475204
0.092773 0.461501
0.093750 0.448611
0.094727 0.436532
0.095703 0.425203
0.096680 0.414528
0.097656 0.404412
0.098633 0.394797
0.099609 0.385685
0.100586 0.377150
0.101562 0.369329
0.102539 0.362400
0.103516 0.356543
0.104492 0.351904
0.105469 0.348555
0.106445 0.346476
0.107422 0.345541
0.108398 0.345536
0.109375 0.346180
0.110352 0.347168
0.111328 0.348215
0.112305 0.349095
0.113281 0.349667
0.114258 0.349895
0.115234 0.349834
0.116211 0.349611
0.117188 0.349392
0.118164 0.349340
0.119141 0.349579
0.120117 0.350172
0.121094 0.351111
0.122070 0.352318
0.123047 0.353670
0.124023 0.355023
0.125000 0.356250
0.125977 0.357264
0.126953 0.358040
0.127930 0.358618
0.128906 0.359091
0.129883 0.359585
0.130859 0.360229
0.131836 0.361125
0.132812 0.362324
0.133789 0.363812
0.134766 0.365515
0.135742 0.367308
0.136719 0.369045
0.137695 0.370593
0.138672 0.371861
0.139648 0.372827
0.140625 0.373556
0.141602 0.374196
0.142578 0.374966
0.143555 0.376128
0.144531 0.377959
0.145508 0.380715
0.146484 0.384605
0.147461 0.389777
0.148438 0.396303
0.149414 0.404192
0.150391 0.413397
0.151367 0.423838
0.152344 0.435418
0.153320 0.448044
0.154297 0.461637
0.155273 0.476134
0.156250 0.491482
0.157227 0.507628
0.158203 0.524502
0.159180 0.542010
0.160156 0.560024
0.161133 0.578383
0.162109 0.596910
0.163086 0.615424
0.164062 0.633766
0.165039 0.651820
0.166016 0.669529
0.166992 0.686899
0.167969 0.704002
0.168945 0.720955
0.169922 0.737900
0.170898 0.754978
0.171875 0.772304
0.172852 0.789945
0.173828 0.807917
0.174805 0.826179
0.175781 0.844651
0.176758 0.863234
0.177734 0.881826
0.178711 0.900352
0.179688 0.918772
0.180664 0.937089
0.181641 0.955339
0.182617 0.973576
0.183594 0.991849
0.184570 1.010179
0.185547 1.028533
0.186523 1.046815
0.187500 1.064866
0.188477 1.082468
0.189453 1.099372
0.190430 1.115321
0.191406 1.130086
0.192383 1.143485
0.193359 1.155409
0.194336 1.165828
0.195312 1.174784
0.196289 1.182384
0.197266 1.188769
0.198242 1.194097
0.199219 1.198520
0.200195 1.202167
0.201172 1.205138
0.202148 1.207507
0.203125 1.209330
0.204102 1.210664
0.205078 1.211575
0.206055 1.212154
0.207031 1.212518
0.208008 1.212807
0.208984 1.213169
0.209961 1.213740
0.210938 1.214630
0.211914 1.215899
0.212891 1.217548
0.213867 1.219521
0.214844 1.221709
0.215820 1.223976
0.216797 1.226177
0.217773 1.228193
0.218750 1.229956
0.219727 1.231463
0.220703 1.232791
0.221680 1.234090
0.222656 1.235568
0.223633 1.237472
0.224609 1.240057
0.225586 1.243558
0.226562 1.248173
0.227539 1.254038
0.228516 1.261230
0.229492 1.269764
0.230469 1.279607
0.231445 1.290687
0.232422 1.302916
0.233398 1.316195
0.234375 1.330429
0.235352 1.345528
0.236328 1.361402
0.237305 1.377962
0.238281 1.395109
0.239258 1.412733
0.240234 1.430713
0.241211 1.448919
0.242188 1.467225
0.243164 1.485520
0.244141 1.503720
0.245117 1.521780
0.246094 1.539693
0.247070 1.557496
0.248047 1.575250
0.249023 1.593032
0.250000 1.610909
0.250977 1.628918
0.251953 1.647049
0.252930 1.665233
0.253906 1.683341
0.254883 1.701188
0.255859 1.718553
0.256836 1.735196
0.257812 1.750885
0.258789 1.765421
0.259766 1.778651
0.260742 1.790486
0.261719 1.800899
0.262695 1.809923
0.263672 1.817642
0.264648 1.824169
0.265625 1.829641
0.266602 1.834196
0.267578 1.837970
0.268555 1.841089
0.269531 1.843670
0.270508 1.845820
0.271484 1.847641
0.272461 1.849233
0.273438 1.850690
0.274414 1.852100
0.275391 1.853537
0.276367 1.855055
0.277344 1.856681
0.278320 1.858409
0.279297 1.860203
0.280273 1.861996
0.281250 1.863705
0.282227 1.865241
0.283203 1.866520
0.284180 1.867478
0.285156 1.868078
0.286133 1.868313
0.287109 1.868205
0.288086 1.867793
0.289062 1.867122
0.290039 1.866231
0.291016 1.865135
0.291992 1.863822
0.292969 1.862243
0.293945 1.860323
0.294922 1.857963
0.295898 1.855057
0.296875 1.851502
0.297852 1.847214
0.298828 1.842134
0.299805 1.836230
0.300781 1.829499
0.301758 1.821953
0.302734 1.813612
0.303711 1.804488
0.304688 1.794585
0.305664 1.783883
0.306641 1.772350
0.307617 1.759943
0.308594 1.746625
0.309570 1.732373
0.310547 1.717197
0.311523 1.701145
0.312500 1.684311
0.313477 1.666825
0.314453 1.648847
0.315430 1.630549
0.316406 1.612098
0.317383 1.593636
0.318359 1.575267
0.319336 1.557052
0.320312 1.539004
0.321289 1.521100
0.322266 1.503290
0.323242 1.485513
0.324219 1.467712
0.325195 1.449848
0.326172 1.431906
0.327148 1.413895
0.328125 1.395846
0.329102 1.377802
0.330078 1.359810
0.331055 1.341910
0.332031 1.324129
0.333008 1.306481
0.333984 1.288973
0.334961 1.271607
0.335938 1.254396
0.336914 1.237369
0.337891 1.220583
0.338867 1.204115
0.339844 1.188068
0.340820 1.172552
